MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap
0.99536795,0,0,0,1.008197859,0,0,1.009836053,1.239859477
0.99029817,0,0,0,1.002522142,0,0,1.009511879,1.298489063
0.996979465,0,0,0,1.009694018,0,0,1.007621876,1.232810663
0.992253295,0,0,0,1.006308792,0,0,1.007961032,1.307229266
0.994003143,0,0,0,1.00476081,0,0,1.00841553,1.297777214
1.008108931,0,0,0,1.008906249,0,0,1.008568852,1.232939924
0.990188718,0,0,0,1.007479639,0,0,1.006514593,1.302681183
1.003309213,0,0,0,1.002549913,0,0,1.009161965,1.297358778
1.001757284,0,0,0,0.999468405,0,0,1.009162915,1.29780969
0.999223153,0,0,0,1.000629085,0,0,1.008482388,1.243920401
1.001223239,0,0,0,0.997370275,0,0,1.009508279,1.229538101
0.994804968,0,0,0,1.00487779,0,0,1.006393596,1.306327039
0.996644009,0,0,0,0.998970434,0,0,1.008398283,1.246388897
0.992297178,0,0,0,0.995027615,0,0,1.009018911,1.22932703
0.999005598,0,0,0,1.008942594,0,0,1.005155742,1.302752596
1.003479048,0,0,0,1.003408977,0,0,1.007063866,1.239030156
1.00448489,0,0,0,0.996806843,0,0,1.009095375,1.235942648
1.003013756,0,0,0,0.998675295,0,0,1.008083086,1.305574645
0.998920883,0,0,0,0.995071739,0,0,1.008703323,1.233779658
1.004203709,0,0,0,1.003987169,0,0,1.006221509,1.24515808
1.00156807,0,0,0,1.005879404,0,0,1.005206353,1.305300919
0.997057322,0,0,0,1.004184101,0,0,1.005234215,1.296149472
1.0021078,0,0,0,0.993858372,0,0,1.008810997,1.306198651
1.006612425,0,0,0,0.993955108,0,0,1.008788561,1.304217396
1.008433391,0,0,0,1.00996873,0,0,1.00374507,1.30650289
1.007179391,0,0,0,0.998380076,0,0,1.007129135,1.239710403
0.991576634,0,0,0,0.99905646,0,0,1.005141803,1.239010619
1.007343789,0,0,0,1.006124125,0,0,1.00443764,1.303598016
1.000636576,0,0,0,0.992009763,0,0,1.00811445,1.233202418
1.005010164,0,0,0,0.997036699,0,0,1.006922106,1.241140625
1.001106063,0,0,0,1.005599793,0,0,1.003477187,1.302763358
0.99903621,0,0,0,1.0046157,0,0,1.003564824,1.309298646
0.990917361,0,0,0,0.995704403,0,0,1.005472035,1.235316204
0.992723878,0,0,0,1.00443747,0,0,1.002824883,1.23083335
1.004075615,0,0,0,1.009426822,0,0,1.002293273,1.251910041
0.994789874,0,0,0,0.996625771,0,0,1.005207332,1.288240697
0.995578516,0,0,0,1.006049462,0,0,1.002323819,1.287661969
1.006475986,0,0,0,0.993138197,0,0,1.007219228,1.288810249
0.996422387,0,0,0,0.993221926,0,0,1.006126471,1.305743138
1.00812383,0,0,0,1.009924206,0,0,1.001892638,1.233561901
1.001054567,0,0,0,0.992762433,0,0,1.006388444,1.299292437
1.00818034,0,0,0,1.00629079,0,0,1.002870077,1.292105491
0.998648635,0,0,0,0.99376494,0,0,1.004965528,1.232529981
0.995606772,0,0,0,0.990073251,0,0,1.005592951,1.297737684
1.006012378,0,0,0,1.0059473,0,0,1.001600064,1.306298303
0.998126037,0,0,0,1.002717388,0,0,1.00177451,1.303323864
1.003050471,0,0,0,1.00799591,0,0,1.000226717,1.24459792
0.99721785,0,0,0,1.000273783,0,0,1.001793999,1.307661414
0.992089255,0,0,0,0.999254431,0,0,1.001503059,1.309224926
0.993089832,0,0,0,1.009616658,0,0,0.998313178,1.244492913
0.993035019,0,0,0,1.005408801,0,0,0.999592208,1.249934324
0.994275843,0,0,0,0.994490758,0,0,1.003059045,1.247569107
1.000192225,0,0,0,1.00826557,0,0,0.999293482,1.294757715
1.009855184,0,0,0,1.003774068,0,0,1.001224211,1.292630609
0.997901586,0,0,0,1.008951105,0,0,0.998356711,1.291946286
1.005456798,0,0,0,0.996296262,0,0,1.002717017,1.299411619
1.000667304,0,0,0,1.005505877,0,0,0.999270705,1.301310718
1.002921855,0,0,0,1.007574142,0,0,0.998848741,1.293579223
0.995463352,0,0,0,0.999747998,0,0,1.000492222,1.311106757
0.99842121,0,0,0,1.001822845,0,0,1.000123821,1.294582244
0.990188468,0,0,0,1.00073569,0,0,0.99959409,1.238995948
0.993305528,0,0,0,1.003219605,0,0,0.999094586,1.311840417
1.001542856,0,0,0,1.002286298,0,0,1.000127641,1.300319601
